;;GENG.ID;ECOLEX.ID;IEA.ID;DocSign;DocForce;DocValidUntilDate;Title;Text;Notes;Download;Type;Ambit;Region;Subject.x;Subject.y;Keywords;Lineage;Sequence;AdoptedIn;Languages;Appendices;Depository;DepositoryURL;Published;Abstract;AbstractText;Website1;Website2;Secretariat;SecretariatURL;UNEP;Supersedes;References;EnabledBy;AmendedBy;Lit;Data;Coded
117;;MGENG-0117;NA;IEA-2716;1963-01-25;1963-05-08;NA;Amendment To The International Convention For The High Seas Fisheries Of The North Pacific Ocean;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Amendment-1952-NorthPacificHighSeasFisheries.EN.txt&par=view_treaty_html;NA;No;MEA (Amendment);NA;NA;NA;FISHS and OCEAN;NA;North Pacific Ocean Fisheries;100,04;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International North Pacific Fisheries Commission;http://www.npafc.org/new/ipnfc.html;NA;NA;NA;NA;NA;TRUE;TRUE;NA
118;?;MGENG-0118;TRE-000580;IEA-2717;1963-01-31;1974-12-04;NA;Convention Supplementary To The Paris Convention On Third Party Liability In The Field Of Nuclear Energy;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Supplementary-1960-ThirdPartyLiabilityFieldNuclearEnergy-amended.EN.txt&par=view_treaty_html | http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-000580.pdf;Most likely still in force as listed under http://diplomatie.belgium.be/fr/binaries/VI_1_tcm313-79877.pdf | However, not listed under https://www.oecd-nea.org/law/paris-convention-ratification.html;No;MEA (Agreement);Regional/restricted; Europe ;ENRGY and WASTE;ENRGY; hazardous waste  |  liability/compensation  |  nuclear energy  |  radioactive pollution  |  radioactive waste  |  transport/storage ;Third Party Liability Nuclear Energy;200;Brussels;Dutch | English | French | German | Italian | Spanish;NA; Belgium ;;MB 19660823 Bundesrat-Drucksache 350/74 $ UK Misc. No.8 (1963) Cmnd.2090 (1963) 2 ILM 685 BGBl. 1985 II 690 UNE 956 UNTS 251;NA;"Objective: To supplement the measures contained in the Paris Convention with a view to increasing the amount of compensation for damage which might result from the use of nuclear energy for peaceful purposes.
|
Summary or provisions: The Convention defines maximum compensation available in case of damage caused by nuclear incidents. Such compensation is to be provided out of funds created by insurance or other financial security, out of public funds to be made available by the Contracting Party in whose territory the nuclear installation is situated, and out of public funds created according to a special formula for contributions. Liability of the operator of the installation is established (art. 3). This abstract takes into account amendments adopted in 1964 and 1982.
|
(Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)";"diplomatie.belgium.be/nl/Verdragen/Belgie_als_depositaris/
";NA;Organization for Economic Cooperation and Development;http://www.oecd.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=75&agreement=Convention Supplementary To The Paris Convention On Third Party Liability In The Field Of Nuclear Energy (signed: 1963-01-31);NA;NA;TRE-000435;19640128|19821116;NA;NA;NA
119;?;MGENG-0119;TRE-000484;IEA-2718;1963-04-29;1965-05-01;NA;Agreement Concerning The International Commission For The Protection Of The Rhine Against Pollution;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-RhineCommission.EN.txt&par=view_treaty_html;Status remains unclear as not listed under https://www.eda.admin.ch/eda/de/home/aussenpolitik/voelkerrecht/internationale-vertraege/depositar.html;No;MEA (Agreement);Regional/restricted;;WATER;WATER; basin  |  freshwater quality/freshwater pollution  |  river basin institution ;Rhine Pollution;700;Bern;German | French | Dutch;NA; Switzerland ;;BGBl. 1965 II 1432 Trb.Nr. 104, 1963 994 UNTS 3;NA;Objectives: To attempt to prevent further pollution of the waters of the Rhine and improve their present state. Summary of provisions: Parties undertake to continue to collaborate in the question of the protection of the waters of the Rhine below the lower Lake, within the framework of the Commission (art. 1). The Commission is, inter alia, to prepare and carry out all necessary research to determine the nature, importance and origin of pollution of the Rhine, propose to Parties measures capable of protecting the Rhine against pollution, prepare the basis of possible arrangements between Parties (art. 2), and furnish them yearly with a report of its activity (art. 11). Parties agree that the Commission is to collaborate specifically with the International Commissions for the protection of the Moselle, the Sarre and the Lake of Constance, as well as with the Central Commission for the Navigation of the Rhine, with a view to exchanging regular and complete information (art. 10 of the Protocol of signature). Institutional mechanisms: The Commission is constituted of an independent technical Secretariat set up at the Federal Institute for Hydrology of Coblenz, for a period of five years (art. 8 of the Protocol of signature). It is also to set up a working group for current research (art. 7).; www.iksr.org/ ;NA;International Commission for the Protection of the Rhine;http://www.iksr.org;http://iea.uoregon.edu/page.php?query=unep_register&page=71&agreement=Agreement Concerning The International Commission For The Protection Of The Rhine Against Pollution (signed: 1963-04-29);NA;NA;NA;19761203;TRUE;TRUE;TRUE
120;;MGENG-0120;NA;IEA-2719;1963-04-29;1965-05-01;NA;Protocol Of Signature To The Agreement Concerning The International Commission For The Protection Of The Rhine Against Pollution;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Protocol-1963-RhineCommission.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;WATER;NA;Rhine Pollution;701;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Commission for the Protection of the Rhine;http://www.iksr.org;NA;NA;NA;NA;NA;TRUE;TRUE;NA
121;;MGENG-0121;NA;IEA-2720;1963-05-10;1963-06-01;NA;Amendments To The Convention For The Regulation Of The Meshes Of Fishing Nets And The Size Limits Of Fish;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Amendments-1946-MeshFishingNets.EN.txt&par=view_treaty_html;NA;No;MEA (Amendment);NA;NA;NA;FISHS;NA;Northeast Atlantic Fisheries;200,05;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northeast Atlantic Fisheries Commission;http://www.neafc.org/;NA;NA;NA;NA;NA;TRUE;TRUE;NA
122;%;MGENG-0122;TRE-000410;IEA-2721;1963-05-21;1977-11-12;NA;Convention On Civil Liability For Nuclear Damage;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-CivilLiabilityNuclearDamage.EN.txt&par=view_treaty_html;Still in force | http://www.iaea.org/Publications/Documents/Conventions/liability_status.pdf;No;MEA (Agreement);Global;;WASTE;ENRGY; hazardous waste  |  jurisdictional competence  |  law reform/harmonization/deregulation  |  liability/compensation  |  nuclear energy  |  radioactive waste ;Civil Liability for Nuclear Damage;100;Vienna;English | French | Russian | Spanish;NA; IAEA International Atomic Energy Agency ;http://www.iaea.org/Publications/Documents/Conventions/liability_status.pdf;UK Misc. No.9(1964) Cmnd.2333 $ UNTS R.No.16197 IAEA Legal Series No.3,Rev.10,Agreement No.1277 UNTS I:16197;NA;"Objective: To establish minimum standards to provide financial protection against damage resulting from peaceful uses of nuclear energy.
|
Summary of provisions: The operator of a nuclear installation is liable for nuclear damage on provision of proof that such damage was caused by an incident within the installation, or involving nuclear material originating therefrom or being sent thereto (art. 2). The liability of the operator in such a case is absolute, but the courts may make a finding of contributory negligence on the part of the person suffering such damage. In any case the operator will not be liable if the nuclear incident was due directly to an act of armed conflict, civil war, insurrection or a grave natural disaster of an exceptional character (art. 4). Limits of liability and limitation of action are established (arts. 5 and 6). The operator is to maintain insurance or financial security to cover his liability (art. 7).
|
(Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)";"www.iaea.org/Publications/Documents/Conventions/liability.html
";NA;International Atomic Energy Agency;http://www.iaea.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=72&agreement=Convention On Civil Liability For Nuclear Damage (signed: 1963-05-21);NA;NA;NA;19970912;NA;NA;TRUE
123;;MGENG-0123;NA;IEA-3748;1963-05-21;1999-05-13;NA;Optional Protocol Concerning The Compulsory Settlement Of Disputes To The Convention On Civil Liability For Nuclear Damage;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-ProtocolCompulsorySettlementDisputes-1963-CivilLiabilityNuclearDamage.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;ENRGY;NA;Civil Liability for Nuclear Damage;102;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Atomic Energy Agency;http://www.iaea.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=77&agreement=Optional Protocol Concerning The Compulsory Settlement Of Disputes to the Convention On Civil Liability For Nuclear Damage (signed: 1963-05-21);NA;NA;NA;NA;NA;NA;NA
124;;MGENG-0124;NA;IEA-2722;1963-05-22;1963-12-03;NA;Amendments To The Agreement For The Establishment Of A General Fisheries Council For The Mediterranean;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Amendment-1949-FisheriesCouncilMediterranean.EN.txt&par=view_treaty_html;NA;No;MEA (Amendment);NA;NA;NA;FISHS and OCEAN;NA;General Fisheries Commission for the Mediterranean;100,01;NA;NA;NA;NA;;NA;NA;NA;NA;NA;General Fisheries Commission For The Mediterranean;http://www.gfcm.org/gfcm/en;NA;NA;NA;NA;NA;TRUE;TRUE;NA
125;;MGENG-0125;NA;IEA-2724;1963-07-15;1966-04-29;NA;Protocol To The International Convention For The Northwest Atlantic Fisheries Relating To Harp And Hood Seals;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-Protocol-1949-NorthWestAtlanticFisheries.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS;NA;Northwest Atlantic Fisheries;102;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northwest Atlantic Fisheries Organization;http://www.nafo.int/;NA;NA;NA;NA;NA;NA;TRUE;NA
126;;MGENG-0126;NA;IEA-2725;1963-07-26;1966-01-01;1972-03-11;Convention Relating To The General Development Of The Senegal River Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-BamakoSenegalRiverBasin.FR.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;ENRGY and WATER;NA;Senegal River Basin;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Organization pour La Mise En Valeur Du Fleuve Senegal;http://www.portail-omvs.org;NA;NA;NA;NA;NA;TRUE;NA;NA
127;%;MGENG-0127;TRE-000418;IEA-2726;1963-08-05;1963-10-10;NA;Treaty Banning Nuclear Weapon Tests In The Atmosphere, In Outer Space And Under Water;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-NuclearTestBan.EN.txt&par=view_treaty_html;Still in force | http://www.state.gov/documents/organization/81119.pdf;No;MEA (Agreement);Global; Arctic ;ATMOS and WASTE;WATER; air quality/air pollution  |  hazardous waste  |  high seas  |  maritime zone  |  military activities  |  nuclear energy  |  outer space  |  radioactive pollution  |  radioactive waste ;Nuclear Test Ban;100;"London; Moscow; Washington D.C.";English | Russian;NA;Russian Federation | United Kingdom | United States of America ;http://www.state.gov/documents/organization/81119.pdf;BGBL. 1964 II 906 UKTS No. 3 (1964) Cmnd. 2245 14 UST 1313;NA;"Objectives: To obtain an agreement on general and complete disarmament under strict international control in accordance with the objectives of the United Nations, to put an end to the armaments race and eliminate incentives to the production and testing of all kinds of weapons, including nuclear weapons.
|
Summary of provisions: Parties undertake to prohibit, prevent and not to carry out any nuclear weapon test explosion, or any other nuclear explosion, at any place under its jurisdiction or control in the atmosphere, beyond its limits, including outer space, or under water, including territorial waters or high seas or in any other environment if such explosion causes radioactive debris to be present outside the territorial limits of the State under whose jurisdiction or control such explosion is conducted.
|
(Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)";treaties.fco.gov.uk/treaties/treatyrecord.htm?tid=2444;NA;Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization;http://www.ctbto.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=78&agreement=Treaty Banning Nuclear Weapon Tests In The Atmosphere, In Outer Space And Under Water (signed: 1963-08-05);NA;NA;NA;NA;NA;NA;NA
128;%;MGENG-0128;TRE-000407;IEA-2728;1963-10-17;1964-06-19;NA;Nordic Mutual Emergency Assistance Agreement In Connection With Radiation Accidents;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-EmergencyAssistanceRadiationAccidents.EN.txt&par=view_treaty_html | http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-000407.pdf;Still in force | https://www.iaea.org/sites/default/files/publications/documents/infcircs/1963/infcirc49a1.pdf;No;MEA (Agreement);Regional/restricted; Europe ;WASTE;ENRGY; hazardous substances  |  hazardous waste  |  international relations/cooperation  |  nuclear energy  |  radiation  |  radioactive pollution  |  radioactive waste  |  dispute settlement ;Nordic Assistance Radiation Accidents;100;Vienna;English;NA; IAEA International Atomic Energy Agency ;https://www.iaea.org/sites/default/files/publications/documents/infcircs/1963/infcirc49a1.pdf;556 UNTS 7585 IAEA Legal Series No.3,Rev.10 Agreement No.237 525 UNTS 7585 $;NA;"Objective: To assist Contracting Parties in the event of an accident involving damage from ionizing radiation and to establish the terms upon which a Contracting State requesting assistance (the Requesting State) may use the assistance provided by another Contracting State or by the International Atomic Energy Agency (Assisting Party).
|
Summary of provisions: Contracting Parties agree that the Requesting State is to have full responsibility for the use of assistance and that equipment or materials are to remain the property of the Assisting Party unless otherwise agreed (art. I). Article II determines the special functions of the International Atomic Energy Agency which include advising upon measures to be taken and assistance required, assist in securing from its Member States not parties to this Agreement such assistance as cannot readily be provided by the other Contracting Parties and co-ordinating the provision of assistance. Article III organises the financial provisions and responsibilities for the Requesting State and the Assisting Party. Requesting States undertake to bear all risks and claims resulting from, occurring in the course of or otherwise connected with, the assistance rendered on its territory (art. IV.1). Any Assisting Party is not to make any public statements concerning the incident, nor communicate any information obtained by it under this Agreement, except with the consent of the Requesting State (art. VII).
|
Institutional mechanisms: Article IX provides for a dispute settlement procedure, including arbitration or the International Court of Justice.
| (Source: IUCN ELC, 08.2005)";www.iaea.org/Publications/Documents/Infcircs/Numbers/nr01-50.shtml;http://www.iaea.org/Publications/Documents/Infcircs/Others/infcirc49.shtml;International Atomic Energy Agency;http://www.iaea.org/;NA;NA;NA;NA;NA;NA;NA;TRUE
129;;MGENG-0129;NA;IEA-2729;1963-10-26;1966-02-01;NA;Act Regarding Navigation And Economic Cooperation Between The States Of The Niger Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-NavigationEconomicCooperationNigerBasin.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Niger Basin;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Niger Basin Authority;http://www.abn.ne/;NA;NA;NA;NA;NA;TRUE;NA;TRUE
130;;MGENG-0130;NA;IEA-2730;1963-10-28;NA;NA;Agreement Concerning An International Observer Scheme For Factory Ships Engaged In Pelagic Whaling In The Antarctic;http://iea.uoregon.edu/pages/view_treaty.php?t=1963-InternationalObserverSchemeFactoryShipsPelagicWhalingAntarctic.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;OCEAN;NA;International Whaling Observers;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Whaling Commission;http://www.iwcoffice.org/;NA;NA;NA;NA;NA;NA;NA;NA
131;;MGENG-0131;TRE-000505;NA;1963-11-20;1967-04-14;NA;Convention To Amend The Revised Convention On The Navigation Of The Rhine;http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-000505.pdf;NA;No;NA;Regional/restricted; Europe ;WATER;NA; authorization/permit  |  basin  |  court/tribunal  |  estuaries  |  harbour  |  inspection  |  intellectual property rights/patents  |  jurisdictional competence  |  navigation  |  river basin institution  |  transport/storage ;NA;NA;Strasbourg;Dutch | French | German;NA;"
CCNR Central Commission for Navigation on the Rhine
";;BGBl. 1966 II 560 UK Misc. No.18 (1964) Cmnd.2421 $;NA;Objectives: To adapt the organisation and working of the Central Commission to the present conditions of its work. Summary of provisions: Article 9 of the Revised Convention on the Navigation of the Rhine is modified, as well as articles 27, 32, 37 43, 44, and 46. Chairmanship and national delegates for the Central Commission are provided for, voting procedures are modified, and the jurisdiction of the Tribunals for Rhine Navigation is extended. Further new articles are adopted to, inter alia, organise the work of the Central Commission and establish a Chamber of Appeal. The Central Commission is to decide on the relations to be established with other international or European organisations. Annex A and articles 41 and 42 are repealed.;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
132;%;MGENG-0132;TRE-000438;IEA-2732;1964-01-28;1968-04-01;NA;Additional Protocol To The Convention On Third Party Liability In The Field Of Nuclear Energy;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-AdditionalProtocol-1960-ThirdPartyLiabilityFieldNuclearEnergy.AAYYYYMMDD.EN.txt&par=view_treaty_html;Still in force | https://www.oecd-nea.org/law/paris-convention-ratification.html;No;MEA (Protocol);Regional/restricted; Europe ;ENRGY and WASTE;ENRGY;;Third Party Liability Nuclear Energy;101;Paris;Dutch | English | French | German | Italian | Spanish;NA;"
OECD Org. for Economic Co-operation and Development
";"https://www.oecd-nea.org/law/paris-convention-ratification.html
";UKTS No. 69 (1968) Cmnd. 3755 $ BGBl. 1985 II 690 956 UNTS 251;NA;NA;"https://www.oecd-nea.org/law/paris-convention-ratification.html
";NA;Organization for Economic Cooperation and Development;http://www.oecd.org/;NA;NA;NA;TRE-000435;NA;NA;NA;NA
133;;MGENG-0133;NA;IEA-2733;1964-01-28;1974-12-04;NA;Additional Protocol To The Convention Supplementary To The Convention On Third Party Liability In The Field Of Nuclear Energy;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-AdditionalProtocol-1963-Supplementary-1960-ThirdPartyLiabilityFieldNuclearEnergy.AAYYYYMMDD.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;ENRGY;NA;Third Party Liability Nuclear Energy;201;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Organization for Economic Cooperation and Development;http://www.oecd.org/;NA;NA;NA;NA;NA;NA;NA;NA
134;;MGENG-0134;NA;IEA-2734;1964-02-06;1967-01-01;NA;Convention Relating To The Status Of The Senegal River;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-DakarSenegalRiverBasin.FR.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;ENRGY and WATER;NA;Senegal River Basin;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Organization pour La Mise En Valeur Du Fleuve Senegal;http://www.portail-omvs.org;NA;NA;NA;NA;NA;TRUE;NA;NA
135;;MGENG-0135;NA;IEA-4244;1964-03-09;1964-03-18;NA;Agreement As To Transitional Rights Between The Government Of Ireland On The One Hand, And The Governments Of Belgium, France, The Federal Republic Of Germany, The Netherlands, Spain And The United Kingdom Of Great Britain And Northern Island On The Other;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-TransitionalRightsIreland-1964-EuropeanFisheries.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;European Fisheries;102;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
136;;MGENG-0136;NA;IEA-4117;1964-03-09;1964-03-18;NA;Agreement As To Transitional Rights Between The Government Of The United Kingdom Of Great Britain And Northern Ireland On The One Hand, And The Governments Of Belgium, France, The Federal Republic Of Germany, Ireland, And The Netherlands On The Other;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-TransitionalRightsUnitedKingdom-1964-EuropeanFisheries.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;European Fisheries;103;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
137;%;MGENG-0137;TRE-000433;IEA-2735;1964-03-09;1966-03-15;NA;European Fisheries Convention;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-EuropeanFisheries.EN.txt&par=view_treaty_html;Still in force | http://treaties.fco.gov.uk/treaties/treatyrecord.htm?tid=2459;No;MEA (Agreement);Regional/restricted; Europe ;FISHS;FISHS; dispute settlement  |  EEZ-exclusive economic zone  |  marine fisheries  |  maritime zone ;European Fisheries;100;London;English | French;NA;United Kingdom ;http://treaties.fco.gov.uk/treaties/treatyrecord.htm?tid=2459;581 UNTS 57 BGBl. 1969 II 1897 UKTS No. 35 (1966) Cmnd. 3011;NA;NA; www.fco.gov.uk ;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
138;;MGENG-0138;NA;IEA-4274;1964-03-09;1964-03-18;NA;Protocol Of Provisional Application Of The European Fisheries Convention;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-Protocol-1964-EuropeanFisheries.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS;NA;European Fisheries;101;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
139;;MGENG-0139;NA;IEA-2736;1964-03-31;1964-04-06;NA;Indus Basin Development Fund (Supplemental) Agreement;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-IndusBasinDevelopmentFundSupplementalAgreement.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Indus Basin;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Indus River System Authority ;http://www.pakirsa.gov.pk;NA;NA;NA;NA;NA;NA;NA;TRUE
140;;MGENG-0140;NA;IEA-2738;1964-05-22;1964-09-15;NA;Convention Relating To The Development Of The Lake Chad Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-DevelopmentChadBasinConvention.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Lake Chad Basin;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Lake Chad Basin Commission;http://lakechad.iwlearn.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=85&agreement=Convention Relating To The Development Of The Lake Chad Basin (signed: 1964-05-22);NA;NA;NA;NA;TRUE;NA;NA
141;;MGENG-0141;NA;IEA-2739;1964-05-22;1964-09-15;NA;Statutes Relating To The Development Of The Lake Chad Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-DevelopmentChadBasinStatute.AAYYYYMMDD.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Lake Chad Basin;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Lake Chad Basin Commission;http://lakechad.iwlearn.org/;http://iea.uoregon.edu/page.php?query=unep_register&page=85&agreement=Statutes Relating To The Development Of The Lake Chad Basin (signed: 1964-05-22);NA;NA;NA;NA;TRUE;NA;NA
142;;MGENG-0142;TRE-000079;NA;1964-06-02;1982-11-01;NA;Agreed Measures For The Conservation Of Antarctic Fauna And Flora;NA;NA;No;NA;Regional/restricted; Antarctica ;OCEAN;NA; alien species  |  authorization/permit  |  biological diversity  |  data collection/reporting  |  ecosystem preservation  |  hunting/capture  |  inventory  |  management/conservation  |  noise pollution  |  protected animal species  |  protected area  |  protected plant species  |  research  |  wild fauna  |  wild flora ;NA;NA;Brussels;English;NA; United States of America ;;17 UST 991 TIAS 6058;NA;NA;www.ats.aq/devAS/info_measures_listitem.aspx?lang=e&id=35;NA;NA;NA;NA;NA;NA;TRE-000457;NA;FALSE;FALSE;FALSE
143;%;MGENG-0143;TRE-000502;IEA-2741;1964-09-12;1968-07-22;NA;Convention For The International Council For The Exploration Of The Sea;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-ExplorationSea.EN.txt&par=view_treaty_html;Still in force | www.lovdata.no/traktater/index.html ;No;MEA (Agreement);Global;;FISHS and OCEAN;OCEAN; data collection/reporting  |  exploration  |  international organization  |  marine fisheries  |  maritime zone  |  research ;International Council For The Exploration Of The Sea;100;Copenhagen;English | French;NA; Denmark ;www.lovdata.no/traktater/index.html ;BGBl. 1969 II 1133 UKTS No.67 (1968) Cmnd.3722 JO France 19690307 24 UST 1080 TIAS 7628;NA;"Objective: To provide a new constitution for the International Council for the Exploration of the Sea established in Copenhagen in 1902.
|
Summary of provisions: The Council is to promote and encourage research and investigations for the study of the sea, and particularly its living resources, to draw up programmes for this purpose and to disseminate the results of such research (art. 1). It is to be concerned with the Atlantic Ocean and its adjacent seas, and primarily with the north Atlantic (art. 2). The Council is to maintain working arrangements with other international organisations (art. 4).
|
This abstract takes into consideration the amendment adopted in 1970.
|
(Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"; www.lovdata.no/traktater/index.html ;NA;International Council For The Exploration Of The Sea;http://www.ices.dk/indexfla.asp;http://iea.uoregon.edu/page.php?query=unep_register&page=86&agreement=Convention For The International Council For The Exploration Of The Sea (signed: 1964-09-12);NA;NA;NA;19700813;NA;NA;TRUE
144;;MGENG-0144;NA;IEA-2742;1964-11-25;1966-04-12;1982-12-03;Agreement Concerning The Niger River Commission And The Navigation And Transport On The River Niger;http://iea.uoregon.edu/pages/view_treaty.php?t=1964-NigerRiverCommissionNavigationTransportRiverNiger.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Niger Basin;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Niger Basin Authority;http://www.abn.ne/;NA;NA;NA;NA;NA;TRUE;NA;TRUE
145;%;MGENG-0145;NA;IEA-2747;1965-11-29;1969-12-19;NA;Protocol To The International Convention For The Northwest Atlantic Fisheries Relating To Entry Into Force Of Proposals Adopted By The Commission;http://iea.uoregon.edu/pages/view_treaty.php?t=1965-ProtocolEntryIntoForce-1949-NorthWestAtlanticFisheries.EN.txt&par=view_treaty_html;Most likely still in force | http://www.nafo.int/icnaf/frames/icnaf.html;No;MEA (Protocol);NA;NA;NA;FISHS;NA;Northwest Atlantic Fisheries;104;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northwest Atlantic Fisheries Organization;http://www.nafo.int/;NA;NA;NA;NA;NA;NA;TRUE;NA
146;%;MGENG-0146;NA;IEA-2746;1965-11-29;1969-12-19;NA;Protocol To The International Convention For The Northwest Atlantic Fisheries Relating To Measures Of Control;http://iea.uoregon.edu/pages/view_treaty.php?t=1965-ProtocolControlMeasures-1949-NorthWestAtlanticFisheries.EN.txt&par=view_treaty_html;Most likely still in force | http://www.nafo.int/icnaf/frames/icnaf.html;No;MEA (Protocol);NA;NA;NA;FISHS;NA;Northwest Atlantic Fisheries;103;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northwest Atlantic Fisheries Organization;http://www.nafo.int/;NA;NA;NA;NA;NA;NA;TRUE;NA
147;;MGENG-0147;NA;IEA-2748;1966-01-14;1974-07-27;NA;Agreement Relating To The International Legal Personality Of The Permanent Commission Of The South Pacific;http://iea.uoregon.edu/pages/view_treaty.php?t=1966-LegalPersonalityPermanentSouthPacificCommission.SP.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;Permanent Commission South Pacific;800;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Permanent Commission of the South Pacific;http://cpps-int.org/;NA;NA;NA;NA;NA;NA;NA;NA
148;%;MGENG-0148;NA;IEA-4675;1966-03-10;1966-03-10;NA;Amendments To Annex I Of The Convention For The Establishment Of The European And Mediterranean Plant Protection Organization;http://iea.uoregon.edu/pages/view_treaty.php?t=1966-Amendments-1951-EuropeanMediterraneanPlantProtection.EN.txt&par=view_treaty_html;Most likely still in force | http://www.eppo.org/;No;MEA (Amendment);NA;NA;NA;OCEAN;NA;European Plant Protection;100,021;NA;NA;NA;NA;;NA;NA;NA;NA;NA;European and Mediterranean Plant Protection Organization (EPPO);http://www.eppo.org/;NA;NA;NA;NA;NA;NA;NA;NA
