"IEA# (click for add'l info)","Inclusion","Signature Year","Signature Date","Date IEA entered into force","Treaty Name","Treaty Text","Members","Agreement Type (level 2)","Lineage","Sequence in lineage","Data","Articles, etc.","Secretariat","UNEP Info"
"8451","BEA","1996","1997-04-01","","Agreement between Uzbekistan and Turkmenistan on water management","","Members","Agreement","Not Yet Assigned","","","","Secretariat not yet identified",""
"1054","BEA","1997","0000-00-00","","Agreement Between The Government Of The Republic Of Estonia And The Government Of The Republic Of Latvia On Mutual Relations In The Field Of Fisheries","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1110","BEA","1997","0000-00-00","","Agreement On The Exchange Of Information In Case Of Nuclear Emergency","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1474","BEN","1997","0000-00-00","","Palau International Coral Reef Center","","Members","Center","Not Yet Assigned","100.000","","","No known secretariat",""
"1484","BEN","1997","0000-00-00","","Study On The Environmental Improvement Of Lake Balaton","","Members","Resolution","Not Yet Assigned","100.000","","","No known secretariat",""
"2154","BuA","1997","0000-00-00","","Agreement On Cooperation In The Field Of Tourism","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2165","BuA","1997","0000-00-00","","Framework Agreement","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3962","OuA","1997","0000-00-00","","Contract For Consultants' Services For The Preparation Of An Eco-Tourism Development Plan For The Western Coast Of Kurzeme, And A Management Plan For Slitere State Nature Reserve And The Livi Coast","","Members","Other Binding Modification","Not Yet Assigned","100.000","","","No known secretariat",""
"3561","MEN","1997","1997-01-01","1997-01-01","Regulation No 101: Uniform Provisions Concerning The Approval Of Passenger Cars Equipped With An Internal Combustion Engine With Regard To The Measurement Of The Emission Of Carbon Dioxide And Fuel Consumption And Of Categories M1 And N1 Vehicles Equipped With An Electric Power Train With Regard To The Measurement Of Electric Energy Consumption And Range","","Members","Resolution","Not Yet Assigned","100.000","","","UN Economic Commission for Europe Transport Division",""
"4448","MEA","1997","1997-01-07","2899-01-01","Convention establishing the Agency for the development of the energy of the Manantali","Treaty Text**","Members","Agreement","Senegal River Basin","800.000","Data","Lit","Société de Gestion de l'Energie de Manantali (SOGEM)",""
"4449","MEA","1997","1997-01-07","2899-01-01","Convention establishing the Agency for the development and exploitation of Diama","Treaty Text**","Members","Agreement","Senegal River Basin","900.000","Data","Lit","Société de Gestion de Diama (SOGED)",""
"4510","MNA","1997","1997-01-10","1997-08-30","Agreement on eternal friendship between Uzbekistan, Kazakhstan and Kyrgyzstan","Treaty Text**","Members","Agreement","Aral Sea","500.000","Data","Lit","International Fund for Saving the Aral Sea",""
"2565","OuA","1997","1997-01-16","","Agreement Between Slovenia And The European Center For Meteorology","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"8456","BEA","1997","1997-01-18","","Protocol amending the 1978 agreement between the United States of America and Canada on Great Lakes Water Quality as amended on October 16, 1983 --revised on Jan 18, 1997","","Members","Protocol","Not Yet Assigned","","","","Secretariat not yet identified",""
"3258","BEA","1997","1997-02-04","1997-02-04","Additional Intergovernmental Agreement Between Germany And Luxembourg Concerning Flood Warning For The Catchment Basin Of The Mosel","Treaty Text**","Members","Agreement","Mosel Saar","500.000","Data","Lit","Commissions Internationales pour la Protection de la Moselle et de la Sarre",""
"8458","BEA","1997","1997-02-04","","Agreement between the Government of the Federal Republic of Germany and the Government of the Grand Duchy of Luxembourg concerning flood warning systems in the Moselle catchment area","","Members","Agreement","Not Yet Assigned","","","","Secretariat not yet identified",""
"1048","BEA","1997","1997-02-06","","Agreement On Environmental Cooperation Between Canada And Chile","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","Canada-Chile Commission for Environmental Cooperation",""
"1420","BEN","1997","1997-02-08","","Joint Statement On Measures To Ensure Preservation Of Biodiversity In The Region Of Sakhalin Island","","Members","Declaration","Not Yet Assigned","100.000","","","No known secretariat",""
"1049","BEA","1997","1997-02-17","","Agreement For The Cooperation In The Global Learning And Observations To Benefit The Environment (GLOBE) Programme - Check On This - Treaties In Force Suggests There Are Similar Agreements Between The US And Numerous Countries","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1050","BNA","1997","1997-02-17","","Agreement Of Cooperation In Agriculture And Agroindustry Between Argentina And Viet Nam","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2148","BuA","1997","1997-02-19","","Protocol Of The Fifth Session Of The Joint Greek-Italian Committee For Scientific And Technological Cooperation","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"1421","BEN","1997","1997-02-21","1997-02-21","Memorandum Of Understanding Relating To The Manufacture Of Low-Cost Wood-Cement Composites In The Philippines Using Plantation Grown Australian Tree Species","","Members","Memorandum of Understanding","Not Yet Assigned","100.000","","","No known secretariat",""
"2461","OEN","1997","1997-02-24","","Agreement On Cooperation In The Sea Fisheries Sector Between The European Community And The Islamic Republic Of Mauritania And Laying Down Provisions For Its Implementation","","Members","Resolution","Not Yet Assigned","100.000","","","No known secretariat",""
"1051","BEA","1997","1997-02-25","","Agreement On The Matter Of Phytosanitary Conditions Between Argentina And Trinidad And Tobago","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1052","BEA","1997","1997-02-25","","Agreement Regarding Animal Health Between Argentina And Trinidad And Tobago","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1053","BNA","1997","1997-02-25","","French Letter Denouncing The Arrangement Concluded At Berne On 23 October 1912 Between France And Switzerland Regarding Grazing On Pastures On The Borders Of The Two Countries","","Members","Amendment","Not Yet Assigned","100.000","","","No known secretariat",""
"2385","OEA","1997","1997-02-26","","Agreement Between The European Community And New Zealand On Sanitary Measures Applicable To Trade In Live Animals And Animal Products","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2386","OEA","1997","1997-02-26","","Agreement In The Form Of An Exchange Of Letters Concerning The Provisional Application Of The Agreement Between The European Community And New Zealand On Sanitary Measures Applicable To Trade In Live Animals And Animal Products","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2290","BuN","1997","1997-02-27","1997-02-27","Joint Statement On Issues Related To The Caspian Sea Between Turkmenistan And Kazakhstan","","Members","Declaration","Caspian Sea","100.040","Data","Lit","Secretariat not yet identified",""
"3944","OEA","1997","1997-02-28","","Agreement On Technical Assistance Programme For Phasing Out Ozone Depleting Substances In Latvia","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4417","MEN","1997","1997-02-28","","Decision of the heads of states of Central Asia about the reorganization of the International Aral Sea Fund","","Members","Resolution","Aral Sea","500.000","Data","Lit","International Fund for Saving the Aral Sea",""
"1055","BEA","1997","1997-03-04","1997-06-23","Agreement Between The Government Of Kazakhstan And The Government Of Turkey On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2291","BuA","1997","1997-03-06","","Minutes Of The Sixth Session Of The Greek-Spanish Joint Economic Committee Meeting","","Members","Other Binding Modification","Not Yet Assigned","100.000","","","No known secretariat",""
"3259","MEA","1997","1997-03-10","1998-07-10","Amendments To IBC Code Of The International Convention For The Prevention Of Pollution From Ships","Treaty Text**","Members","Amendment","MARPOL","203.280","Data","Lit","International Maritime Organization (IMO)",""
"1056","BEA","1997","1997-03-14","1997-03-14","Agreement Between The Government Of The Republic Of Estonia And The Government Of The Republic Of Latvia On Environmental Impact Assessment In A Transboundary Context","","Members","Agreement","Environmental Impact Assessment","102.000","Data","Lit","No known secretariat",""
"1057","BEA","1997","1997-03-20","1998-03-14","Agreement On Animal Health Protection Between The Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Hungary","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1058","BEA","1997","1997-03-20","1998-03-14","Agreement On Plant Protection Collaboration Between The Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Hungary","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1536","OEA","1997","1997-03-22","","Agreement Between Ministry Of The Environment Of Slovak Republic And Ministry Of Science, Technology And Environment Of Cuba On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1059","BEA","1997","1997-03-25","","Agreement On Animal Health Between Argentina And Tunisia","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1060","BEA","1997","1997-03-25","","Agreement On Cooperation In The Field Of Quarantine And Protection Of Plants","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1061","BEA","1997","1997-04-02","","Agreement Between The Republic Of Turkey And The Republic Of Slovakia On Cooperation For The Protection Of The Environment","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3260","MEA","1997","1997-04-04","1997-11-06","Amendments To The Constitution Of The European Commission For The Control Of Foot And Mouth Disease","Treaty Text**","Members","Amendment","European Foot Mouth Disease","100.070","Data","Lit","European Commission for the Control of Foot and Mouth Disease",""
"1062","BEA","1997","1997-04-08","1997-04-08","Agreement Between The Government Of Kazakhstan And The Government Of Kyrgyzstan On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1063","BNA","1997","1997-04-08","1999-01-20","Agreement Between The Government Of Kazakhstan And The Government Of Kyrgyzstan On Cooperation In The Field Of Agriculture And Processing Industry","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1064","BNA","1997","1997-04-10","","Agreement Between The Government Of The Hellenic Republic And The Government Of Georgia In The Field Of Agriculture","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2149","BuA","1997","1997-04-10","","Agreement Between Republic Of Poland And Republic Of Germany On Mutual Assistance In Time Of Catastrophes, Natural Calamities Or Other Casualties","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4203","MEA","1997","1997-04-16","1997-07-15","Amendments To Appendices I And II Of The Convention On The Conservation Of Migratory Species Of Wild Animals","Treaty Text**","Members","Amendment","Conservation Migratory Species","100.050","Data","Lit","UNEP CMS Secretariat",""
"1065","BEA","1997","1997-04-23","1998-03-14","Agreement Between The Federal Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Macedonia In The Field Of Plant Protection And Plant Quarantine","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1066","BEA","1997","1997-04-23","1998-03-14","Agreement Between The Federal Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Macedonia In The Field Of Veterinary Medicine","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1537","ONA","1997","1997-04-23","","Protocol Relating To Scientific, Technical And Economic Cooperation Between The Federal Ministry For Agriculture Of The Federal Republic Of Yugoslavia And The Ministry Of Agriculture Of The Republic Of Macedonia","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"5051","MEA","1997","1997-04-25","2599-01-01","Amendment to article XXI of the International Hydrographic Organisation Convention","Treaty Text**","Members","Amendment","International Hydrographic Organization","100.020","Data","Lit","International Hydrographic Organization",""
"2150","BEA","1997","1997-04-27","","Agreement Regarding Transborder River Transport Of Passengers, Vehicles, And Cargo Between Argentina And Brasil","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2151","BuA","1997","1997-04-28","","Agreement Between Slovenia And Croatia On Border Issues And Cooperation","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1067","BEA","1997","1997-04-30","","Agreement On Cooperation And Technical Assistance In The Field Of Nuclear Safety, Radiation Protection And Nuclear Emergency Preparedness And Response","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3684","MNA","1997","1997-04-30","","Agreement Between The Government Of The Republic Of Estonia, The Government Of The Republic Of Latvia And The Government Of The Kingdom Of Sweden On The Common Maritime Boundary Point In The Baltic Sea","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2387","OEA","1997","1997-05-01","","Protocol Establishing The Fishing Rights And Financial Compensation For The Period From 1 May 1997 To 30 April 2001 Provided For In The Agreement Between The Government Of The Republic Of Senegal And The European Economic Community On Fishing Off The Coast Of Senegal","","Members","Protocol","EU Senegal Fishing","104.000","Data","Lit","European Union",""
"2451","OEA","1997","1997-05-01","","Agreement In The Form Of An Exchange Of Letters Concerning The Provisional Application Of The Protocol Establishing The Fishing Rights And Financial Compensation Provided For In The Agreement Between The European Economic Community And The Government Of The Republic Of Senegal On Fishing Off The Coast Of Senegal For The Period From 1 May 1997 To 30 April 2001","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1068","BEA","1997","1997-05-03","1997-07-03","Agreement On Cooperation In The Field Of Quarantine And Protection Of Plants","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1274","BEA","1997","1997-05-03","1997-08-15","Convention between the Government of Romania and the Government of the Russian Federation on cooperation in the field of quarantine and plant protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1069","BEA","1997","1997-05-05","","Protocol To The Convention For The Protection Of Migratory Birds And Game Mammals","Treaty Text**","Members","Protocol","US-Mexico Migratory Birds and Mammals","101.000","Data","Lit","Secretariat not yet identified",""
"1070","BEA","1997","1997-05-05","","Agreement Between France And Turkey Regarding The Environment","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1071","BEA","1997","1997-05-06","","Supplementary Adjustment To The Agreement For Cooperation For Improvement Of Natural Resources And Development Of The Cuareim River Basin Between Uruguay And Brazil","","Members","Amendment","Not Yet Assigned","100.000","","","No known secretariat",""
"1609","OEN","1997","1997-05-09","","Programme Agreement Between The Estonian Ministry Of Environment And The Danish Ministry Of Housing And Building","","Members","Plan of Action","Not Yet Assigned","100.000","","","No known secretariat",""
"2152","BuA","1997","1997-05-09","","Agreement Between The Government Of The Hellenic Republic And The Government Of The Republic Of Cuba On Economic And Technological Cooperation","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1072","BEA","1997","1997-05-12","","Agreement Between The Government Of Belarus And The Government Of Ukraine On Cooperation In The Field Of Quarantine Of Plants","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1073","BEA","1997","1997-05-12","","Agreement Between The Government Of Belarus And The Government Of Ukraine On Joint Efforts To Minimize And Eliminate Consequences Of Chernobyl Catastrophe","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1776","BNA","1997","1997-05-13","","Treaty Between The Government Of The United States of America And The Government Of Niue On The Delimitation Of A Maritime Boundary","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2388","OEA","1997","1997-05-14","1997-05-14","Protocol Defining (For The Period Between 3 May 1996 To 2 May 1999) The Fishing Opportunities And Financial Compensation Provided For In The Agreement Between The European Economic Community And The People's Republic Of Angola On Fishing Off Angola","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"2389","OEA","1997","1997-05-14","","Council Regulation (EC) No 910/97 Of 14 May 1997 On The Conclusion Of The Protocol Defining (For The Period Between The 3 May 1996 To 2 May 1999), The Fishing Opportunities And The Financial Contribution Provided For By The Agreement Between The European Economic Community And The People's Republic Of Angola On Fishing Off The Coast Of Angola","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1074","BEA","1997","1997-05-15","","Agreement Of Cooperation On The Environment Between France And China","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2153","BuA","1997","1997-05-15","","Protocol Of The Fifteenth Session Of The Joint Hellenic-Romanian Intergovernmental Committee Of Economic, Industrial And Technical Cooperation","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"3261","MEA","1997","1997-05-21","2014-08-17","Convention On The Law Of The Non-Navigational Uses Of International Watercourses","Treaty Text**","Members","Agreement","Non-Navigational Uses of International Watercourses","100.000","Data","Lit","United Nations International Law Commission","UNEP Info"
"1075","BEA","1997","1997-05-26","2000-12-14","Agreement Between Hungary And Romania On Environmental Protection Cooperation","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1076","BEA","1997","1997-05-26","","Agreement Between Romania And Hungary Regarding Rapid Notification Of A Nuclear Accident","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1538","OEA","1997","1997-05-26","","Agreement Between Ministry Of The Environment Of Slovak Republic And Ministry Of The Environment Of Poland On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2390","OEA","1997","1997-05-27","","Agreement In The Form Of An Exchange Of Letters On The Provisional Application Of The Protocol Fixing, For The Period 1 December 1996 To 30 November 1999, The Fishing Opportunities And The Financial Consideration Provided For In The Agreement Between The European Economic Community And The Government Of Mauritius On Fishing In Mauritian Water","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1077","BEA","1997","1997-05-28","","Intergovernmental Agreement Between Bulgaria And Romania On Early Notification Of Nuclear Accidents","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1078","BEA","1997","1997-06-02","1997-06-02","Agreement Between The Government Of Kazakhstan And The Government Of Uzbekistan On Cooperation In The Field Of Environmental Protection And Rational Use Of Nature","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1079","BEA","1997","1997-06-04","1997-06-04","Subsidiary Agreement On Fisheries Between The Government Of Australia And The Government Of Japan Concerning Japanese Tuna Long Line Fishing","","Members","Agreement","Australia Japan Tuna Long Line","117.000","Data","Lit","No known secretariat",""
"3262","MEA","1997","1997-06-04","1999-01-01","Amendments To The International Convention On Standards Of Training, Certification And Watchkeeping For Seafarers - Crew Training For Passenger Ships","Treaty Text**","Members","Amendment","Watchkeeping","100.040","Data","Lit","International Maritime Organization (IMO)",""
"3263","MEA","1997","1997-06-04","1999-01-01","Amendments To The International Convention On Standards Of Training, Certification And Watchkeeping For Seafarers - Seafarers' Training, Certification And Watchkeeping Code","Treaty Text**","Members","Amendment","Watchkeeping","100.050","Data","Lit","International Maritime Organization (IMO)",""
"3685","MNA","1997","1997-06-04","1999-07-01","Amendments To The International Convention For The Safety Of Life At Sea - Vessel Traffic Services Regulation","","Members","Amendment","Safety of Life at Sea","500.280","Data","Lit","International Maritime Organization (IMO)",""
"1080","BNA","1997","1997-06-05","1997-06-05","Agreement Between The Republic Of Cyprus And The Czech Republic On Cooperation In The Field Of Agriculture","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1081","BEA","1997","1997-06-05","1997-06-05","Agreement Between The Republic Of Cyprus And The Czech Republic On Cooperation On Veterinary Science","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1082","BEA","1997","1997-06-06","","Agreement (No 95/1998) Between The Federal Government Of Austria And The Government Of Macedonia On Economical, Agricultural, Industrial, Technical And Technological Cooperation","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1083","BEA","1997","1997-06-10","1997-06-10","Agreement Between The Government Of Kazakhstan And The Government Of Azerbaijan On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1084","BEA","1997","1997-06-12","1998-03-11","Agreement Between The Federal Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Poland On Cooperation In The Field Of Veterinary Medicine","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1085","BEA","1997","1997-06-12","1998-03-14","Agreement On Cooperation In The Field Of Plant Protection Between The Government Of The Federal Republic Of Yugoslavia And The Government Of The Republic Of Poland","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1539","ONA","1997","1997-06-12","","Agreement Between The Federal Ministry Of Agriculture Of The Federal Republic Of Yugoslavia And The Ministry Of Agriculture And Food Industry Of The Republic Of Poland In The Fields Of Agriculture And Food Industry","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3532","MEN","1997","1997-06-13","","Alta Declaration On The Arctic Environmental Protection Strategy","Treaty Text**","Members","Declaration","Arctic Environmental Protection Strategy","500.000","Data","Lit","Arctic Council",""
"3533","MEN","1997","1997-06-13","","Declaration Of The Second Multilateral High-Level Conference On The Conservation And Management Of Highly Migratory Fish Stocks In The Western And Central Pacific","Treaty Text**","Members","Declaration","Not Yet Assigned","100.000","","","Western and Central Pacific Ocean Fisheries Commission",""
"1086","BEA","1997","1997-06-18","","Supplementary Protocol To The Convention On Conservation And Development Of Fishery Resources In The Border Sections Of The Parana And Paraguay Rivers Between Argentina And Paraguay","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"2391","OEA","1997","1997-06-20","1997-06-20","Protocol Fixing, For The Period 1 December 1996 To 30 November 1999, The Fishing Opportunities And The Financial Consideration Provided For In The Agreement Between The European Economic Community And The Government Of Mauritius On Fishing In Mauritian Waters","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"4602","MEA","1997","1997-06-20","1997-09-18","Amendments To Appendices I and II To The Convention On International Trade In Endangered Species Of Wild Fauna And Flora (COP-10, 1997)","Treaty Text**","Members","Amendment","CITES","100.130","Data","Lit","CITES Secretariat",""
"1087","BEA","1997","1997-06-24","1998-03-27","Agreement Between The Republic Of Croatia And The Government Of The Republic Of Bulgaria On Cooperation In The Area Of Plant Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1540","OEA","1997","1997-07-08","","Agreement Between Ministry Of The Environment Of Slovak Republic And Ministry Of The Environment Of Belarus On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2155","BuA","1997","1997-07-09","1998-05-01","Agreement Between Hungary And Croatia On The Prevention Of Disasters","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2292","BuN","1997","1997-07-10","","Arrangement On Development Cooperation","","Members","Arrangement","Not Yet Assigned","100.000","","","No known secretariat",""
"3929","MuN","1997","1997-07-11","","Mediterranean Memorandum Of Understanding On Port State Control","Treaty Text**","Members","Memorandum of Understanding","Port State Control","500.000","Data","Lit","Mediterranean MOU Secretariat",""
"1088","BEA","1997","1997-07-14","","Agreement Between The Government Of Slovak Republic And German Republic On Cooperation In The Field Of Environmental Protection","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1089","BEA","1997","1997-07-14","","Agreement Between The Republic Of Turkey And The Republic Of Georgia On Cooperation In The Field Of Environment","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1090","BEA","1997","1997-07-15","1998-03-01","Agreement On Veterinary Collaboration Between The Government Of The Republic Of Croatia And The Government Of The Republic Of Bulgaria","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2394","OEA","1997","1997-07-23","1997-07-23","Protocol Establishing The Fishing Possibilities And The Financial Compensation Provided For In The Agreement Between The European Economic Community And The Government Of The Republic Of Guinea-Bissau On Fishing Off The Coast Of Guinea-Bissau For The Period 16 June 1997 To 15 June 2001","","Members","Protocol","Not Yet Assigned","100.000","","","No known secretariat",""
"1091","BEA","1997","1997-07-28","","Agreement On Environmental Cooperation Between The Government Of The Republic Of Bulgaria And The Government Of The Republic Of Turkey","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2156","BuA","1997","1997-08-08","","Agreement Regarding Catastrophies Between Argentina And Chile","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1777","BNA","1997","1997-08-09","","Agreement Between The Government Of The Kingdom Of Thailand And The Socialist Republic Of Viet Nam On The Delimitation Of The Maritime Boundary Between The Two Countries In The Gulf Of Thailand","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1092","BEA","1997","1997-08-11","1997-11-14","Exchange Of Notes Constituting An Agreement Concerning The Retransfer Of Australian Obligated Nuclear Material Under The Agreement Between The Government Of Australia And The Government Of The Republic Of Korea Concerning The Cooperation In Peaceful Uses Of Nuclear Energy And The Transfer Of Nuclear Material","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1093","BEA","1997","1997-08-11","","Convention On Fisheries Cooperation Between Perú And Honduras","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2157","BuA","1997","1997-08-15","1997-08-15","Agreement Between The Government Of Kazakhstan And The Government Of Kyrgyzstan On Deepening Mutual Cooperation In The Field Of Mining And Processing Uranium-Contained Raw Materials","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1094","BEA","1997","1997-08-20","1997-08-20","Agreement Between The Government Of The Republic Of Estonia And The Government Of The Russian Federation On Cooperation In The Field Of Protection And Sustainable Use Of Transboundary Watercourses","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1095","BEA","1997","1997-08-20","","Agreement On Animal Health Between Argentina And Panama","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3264","MEA","1997","1997-09-05","2001-06-18","Joint Convention On The Safety Of Spent Fuel Management And On The Safety Of Radioactive Waste Management","Treaty Text**","Members","Agreement","Safety of Spent Fuel Management and Radioactive Waste","100.000","Data","Lit","International Atomic Energy Agency","UNEP Info"
"1541","OEA","1997","1997-09-08","","Agreement On Cooperation In The Field Of Environmental Protection Between Ministry of Environment and Waters Of Romania And The National Agency Of The Environment Of China","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4351","MuA","1997","1997-09-08","","Protocol On Mining To The Treaty Of The Southern African Development Community","Treaty Text**","Members","Protocol","Southern African Development Community","102.000","Data","Lit","Southern African Development Community",""
"1096","BEA","1997","1997-09-10","","Agreement On Technical Cooperation On Risk Assessment Of Defence-Related Waste In Latvia","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3265","MEA","1997","1997-09-12","2003-10-04","Protocol To Amend The Vienna Convention On Civil Liability For Nuclear Damage","Treaty Text**","Members","Protocol","Civil Liability for Nuclear Damage","101.000","Data","Lit","International Atomic Energy Agency","UNEP Info"
"3266","MEA","1997","1997-09-12","2015-04-15","Convention On Supplementary Compensation For Nuclear Damage","Treaty Text**","Members","Agreement","Civil Liability for Nuclear Damage","200.000","Data","Lit","International Atomic Energy Agency","UNEP Info"
"1097","BEA","1997","1997-09-16","","Agreement For Veterinary Health Between Argentina And Algeria","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1098","BEA","1997","1997-09-16","","Phytosanitary Agreement Between Argentina And Algeria","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"3267","MEA","1997","1997-09-17","1999-11-10","Amendment To The Montreal Protocol On Substances That Deplete The Ozone Layer","Treaty Text**","Members","Amendment","Ozone Protection","101.090","Data","Lit","Ozone Secretariat","UNEP Info"
"4305","MEA","1997","1997-09-17","1998-06-04","Adjustments to Annex A of The Montreal Protocol On Substances That Deplete The Ozone Layer agreed to at the Ninth Meeting of the Parties","Treaty Text**","Members","Amendment","Ozone Protection","101.100","Data","Lit","Ozone Secretariat","UNEP Info"
"4306","MEA","1997","1997-09-17","1998-06-04","Adjustments to Annex B of The Montreal Protocol On Substances That Deplete The Ozone Layer agreed to at the Ninth Meeting of the Parties","Treaty Text**","Members","Amendment","Ozone Protection","101.110","Data","Lit","Ozone Secretariat","UNEP Info"
"4307","MEA","1997","1997-09-17","1998-06-04","Adjustments to Annex E of The Montreal Protocol On Substances That Deplete The Ozone Layer agreed to at the Ninth Meeting of the Parties","Treaty Text**","Members","Amendment","Ozone Protection","101.120","Data","Lit","Ozone Secretariat","UNEP Info"
"3534","MEN","1997","1997-09-18","","Jakarta Declaration On Environment And Development","","Members","Declaration","Not Yet Assigned","100.000","","","No known secretariat",""
